#,,
#,,
X,BedInitial,BedMeasured
m,m,m
5.97,-0.097,-0.012
6.04,-0.104,-0.017
6.1,-0.11,-0.022
6.17,-0.117,-0.027
6.23,-0.123,-0.032
6.3,-0.125,-0.037
6.36,-0.125,-0.042
6.43,-0.125,-0.047
6.5,-0.125,-0.052
6.56,-0.125,-0.056
6.63,-0.125,-0.06
6.69,-0.125,-0.064
6.76,-0.125,-0.068
6.83,-0.125,-0.071
6.89,-0.125,-0.073
6.96,-0.125,-0.076
7.02,-0.125,-0.078
7.09,-0.125,-0.08
7.15,-0.125,-0.082
7.22,-0.125,-0.084
7.29,-0.125,-0.085
7.35,-0.125,-0.085
7.42,-0.125,-0.085
7.48,-0.125,-0.085
7.55,-0.125,-0.085
7.62,-0.125,-0.083
7.68,-0.125,-0.082
7.75,-0.125,-0.08
7.81,-0.125,-0.079
7.88,-0.125,-0.077
7.94,-0.125,-0.075
8.01,-0.125,-0.073
8.08,-0.125,-0.071
8.14,-0.125,-0.068
8.21,-0.125,-0.066
8.27,-0.123,-0.063
8.34,-0.116,-0.061
8.4,-0.11,-0.058
8.47,-0.103,-0.056
8.54,-0.096,-0.055
8.6,-0.09,-0.055
8.67,-0.083,-0.056
8.73,-0.077,-0.056
8.8,-0.07,-0.057
8.87,-0.063,-0.057
8.93,-0.057,-0.058
9,-0.05,-0.058
9.06,-0.044,-0.056
9.13,-0.037,-0.053
9.19,-0.031,-0.051
9.26,-0.024,-0.048
9.33,-0.017,-0.044
9.39,-0.011,-0.041
9.46,-0.004,-0.038
9.52,0,-0.034
9.59,0,-0.032
9.65,0,-0.029
9.72,0,-0.027
9.79,0,-0.024
9.85,0,-0.023
9.92,0,-0.022
9.98,0,-0.02
10.05,0,-0.02
10.12,0,-0.019
10.18,0,-0.018
10.25,0,-0.018
10.31,0,-0.017
10.38,0,-0.016
10.44,0,-0.016
10.51,0,-0.015
10.58,0,-0.014
10.64,0,-0.013
10.71,0,-0.013
10.77,0,-0.012
10.84,0,-0.011
10.9,0,-0.011
10.97,0,-0.01
11.04,0,-0.01
11.1,0,-0.009
11.17,0,-0.009
11.23,0,-0.008
11.3,0,-0.008
