#
#
#
     T       SL(1)
  s       m
        0.00     1.0000
      300.00     0.9944
      600.00     0.9887
      900.00     0.9830
     1200.00     0.9773
     1500.00     0.9717
     1800.00     0.9660
     2100.00     0.9494
     2400.00     0.9328
     2700.00     0.9161
     3000.00     0.8995
     3300.00     0.8828
     3600.00     0.8662
     3900.00     0.8398
     4200.00     0.8133
     4500.00     0.7868
     4800.00     0.7604
     5100.00     0.7339
     5400.00     0.7074
     5700.00     0.6730
     6000.00     0.6385
     6300.00     0.6039
     6600.00     0.5694
     6900.00     0.5349
     7200.00     0.5004
     7500.00     0.4603
     7800.00     0.4201
     8100.00     0.3799
     8400.00     0.3397
     8700.00     0.2995
     9000.00     0.2594
     9300.00     0.2163
     9600.00     0.1731
     9900.00     0.1300
    10200.00     0.0869
    10500.00     0.0437
    10800.00     0.0006
    11100.00    -0.0426
    11400.00    -0.0857
    11700.00    -0.1289
    12000.00    -0.1720
    12300.00    -0.2152
    12600.00    -0.2583
    12900.00    -0.2986
    13200.00    -0.3388
    13500.00    -0.3790
    13800.00    -0.4192
    14100.00    -0.4594
    14400.00    -0.4996
    14700.00    -0.5342
    15000.00    -0.5687
    15300.00    -0.6032
    15600.00    -0.6378
    15900.00    -0.6723
    16200.00    -0.7068
    16500.00    -0.7334
    16800.00    -0.7599
    17100.00    -0.7864
    17400.00    -0.8129
    17700.00    -0.8394
    18000.00    -0.8659
    18300.00    -0.8827
    18600.00    -0.8994
    18900.00    -0.9160
    19200.00    -0.9327
    19500.00    -0.9494
    19800.00    -0.9660
    20100.00    -0.9718
    20400.00    -0.9775
    20700.00    -0.9832
    21000.00    -0.9889
    21300.00    -0.9946
    21600.00    -1.0003
    21900.00    -0.9947
    22200.00    -0.9890
    22500.00    -0.9834
    22800.00    -0.9777
    23100.00    -0.9720
    23400.00    -0.9663
    23700.00    -0.9498
    24000.00    -0.9331
    24300.00    -0.9165
    24600.00    -0.8998
    24900.00    -0.8832
    25200.00    -0.8665
    25500.00    -0.8401
    25800.00    -0.8136
    26100.00    -0.7871
    26400.00    -0.7606
    26700.00    -0.7342
    27000.00    -0.7077
    27300.00    -0.6732
    27600.00    -0.6387
    27900.00    -0.6042
    28200.00    -0.5696
    28500.00    -0.5351
    28800.00    -0.5006
    29100.00    -0.4605
    29400.00    -0.4202
    29700.00    -0.3800
    30000.00    -0.3398
    30300.00    -0.2996
    30600.00    -0.2594
    30900.00    -0.2163
    31200.00    -0.1731
    31500.00    -0.1299
    31800.00    -0.0868
    32100.00    -0.0436
    32400.00    -0.0005
    32700.00     0.0427
    33000.00     0.0859
    33300.00     0.1290
    33600.00     0.1722
    33900.00     0.2153
    34200.00     0.2585
    34500.00     0.2987
    34800.00     0.3390
    35100.00     0.3792
    35400.00     0.4194
    35700.00     0.4596
    36000.00     0.4998
    36300.00     0.5344
    36600.00     0.5690
    36900.00     0.6035
    37200.00     0.6380
    37500.00     0.6725
    37800.00     0.7071
    38100.00     0.7337
    38400.00     0.7602
    38700.00     0.7866
    39000.00     0.8131
    39300.00     0.8396
    39600.00     0.8661
    39900.00     0.8829
    40200.00     0.8996
    40500.00     0.9162
    40800.00     0.9329
    41100.00     0.9495
    41400.00     0.9662
    41700.00     0.9720
    42000.00     0.9776
    42300.00     0.9833
    42600.00     0.9890
    42900.00     0.9946
    43200.00     1.0003
    43500.00     0.9948
    43800.00     0.9891
    44100.00     0.9834
    44400.00     0.9777
    44700.00     0.9720
    45000.00     0.9663
    45300.00     0.9497
    45600.00     0.9331
    45900.00     0.9164
    46200.00     0.8997
    46500.00     0.8831
    46800.00     0.8664
    47100.00     0.8400
    47400.00     0.8135
    47700.00     0.7870
    48000.00     0.7605
    48300.00     0.7340
    48600.00     0.7075
    48900.00     0.6730
    49200.00     0.6385
    49500.00     0.6040
    49800.00     0.5694
    50100.00     0.5349
    50400.00     0.5003
    50700.00     0.4602
    51000.00     0.4200
    51300.00     0.3798
    51600.00     0.3396
    51900.00     0.2994
    52200.00     0.2592
    52500.00     0.2161
    52800.00     0.1729
    53100.00     0.1298
    53400.00     0.0866
    53700.00     0.0435
    54000.00     0.0003
    54300.00    -0.0428
    54600.00    -0.0859
    54900.00    -0.1291
    55200.00    -0.1722
    55500.00    -0.2153
    55800.00    -0.2585
    56100.00    -0.2987
    56400.00    -0.3389
    56700.00    -0.3791
    57000.00    -0.4193
    57300.00    -0.4595
    57600.00    -0.4997
    57900.00    -0.5343
    58200.00    -0.5688
    58500.00    -0.6033
    58800.00    -0.6378
    59100.00    -0.6723
    59400.00    -0.7069
    59700.00    -0.7335
    60000.00    -0.7600
    60300.00    -0.7864
    60600.00    -0.8129
    60900.00    -0.8394
    61200.00    -0.8659
    61500.00    -0.8827
    61800.00    -0.8994
    62100.00    -0.9160
    62400.00    -0.9327
    62700.00    -0.9493
    63000.00    -0.9660
    63300.00    -0.9718
    63600.00    -0.9775
    63900.00    -0.9832
    64200.00    -0.9888
    64500.00    -0.9945
    64800.00    -1.0002
    65100.00    -0.9947
    65400.00    -0.9890
    65700.00    -0.9833
    66000.00    -0.9776
    66300.00    -0.9720
    66600.00    -0.9663
    66900.00    -0.9498
    67200.00    -0.9331
    67500.00    -0.9165
    67800.00    -0.8998
    68100.00    -0.8832
    68400.00    -0.8665
    68700.00    -0.8401
    69000.00    -0.8136
    69300.00    -0.7871
    69600.00    -0.7606
    69900.00    -0.7342
    70200.00    -0.7077
    70500.00    -0.6732
    70800.00    -0.6387
    71100.00    -0.6042
    71400.00    -0.5696
    71700.00    -0.5351
    72000.00    -0.5006
    72300.00    -0.4605
    72600.00    -0.4203
    72900.00    -0.3800
    73200.00    -0.3398
    73500.00    -0.2996
    73800.00    -0.2594
    74100.00    -0.2163
    74400.00    -0.1731
    74700.00    -0.1300
    75000.00    -0.0868
    75300.00    -0.0437
    75600.00    -0.0005
    75900.00     0.0427
    76200.00     0.0858
    76500.00     0.1290
    76800.00     0.1722
    77100.00     0.2153
    77400.00     0.2585
    77700.00     0.2987
    78000.00     0.3390
    78300.00     0.3792
    78600.00     0.4194
    78900.00     0.4596
    79200.00     0.4998
    79500.00     0.5344
    79800.00     0.5689
    80100.00     0.6035
    80400.00     0.6380
    80700.00     0.6725
    81000.00     0.7071
    81300.00     0.7337
    81600.00     0.7602
    81900.00     0.7866
    82200.00     0.8131
    82500.00     0.8396
    82800.00     0.8662
    83100.00     0.8829
    83400.00     0.8996
    83700.00     0.9162
    84000.00     0.9329
    84300.00     0.9495
    84600.00     0.9662
    84900.00     0.9720
    85200.00     0.9776
    85500.00     0.9833
    85800.00     0.9890
    86100.00     0.9947
    86400.00     1.0003
    86700.00     0.9948
    87000.00     0.9891
    87300.00     0.9834
    87600.00     0.9777
    87900.00     0.9720
    88200.00     0.9663
    88500.00     0.9497
    88800.00     0.9331
    89100.00     0.9164
    89400.00     0.8997
    89700.00     0.8831
    90000.00     0.8664
    90300.00     0.8400
    90600.00     0.8135
    90900.00     0.7870
    91200.00     0.7605
    91500.00     0.7340
    91800.00     0.7075
    92100.00     0.6730
    92400.00     0.6385
    92700.00     0.6040
    93000.00     0.5694
    93300.00     0.5349
    93600.00     0.5003
    93900.00     0.4602
    94200.00     0.4200
    94500.00     0.3798
    94800.00     0.3396
    95100.00     0.2994
    95400.00     0.2592
    95700.00     0.2160
    96000.00     0.1729
    96300.00     0.1298
    96600.00     0.0866
    96900.00     0.0435
    97200.00     0.0003
    97500.00    -0.0428
    97800.00    -0.0859
    98100.00    -0.1291
    98400.00    -0.1722
    98700.00    -0.2153
    99000.00    -0.2585
    99300.00    -0.2987
    99600.00    -0.3389
    99900.00    -0.3791
   100200.00    -0.4193
   100500.00    -0.4595
   100800.00    -0.4997
   101100.00    -0.5343
   101400.00    -0.5688
   101700.00    -0.6033
   102000.00    -0.6378
   102300.00    -0.6723
   102600.00    -0.7069
   102900.00    -0.7335
   103200.00    -0.7600
   103500.00    -0.7864
   103800.00    -0.8129
   104100.00    -0.8394
   104400.00    -0.8659
   104700.00    -0.8827
   105000.00    -0.8994
   105300.00    -0.9160
   105600.00    -0.9327
   105900.00    -0.9493
   106200.00    -0.9660
   106500.00    -0.9718
   106800.00    -0.9775
   107100.00    -0.9832
   107400.00    -0.9888
   107700.00    -0.9945
   108000.00    -1.0002
   108300.00    -0.9947
   108600.00    -0.9890
   108900.00    -0.9833
   109200.00    -0.9776
   109500.00    -0.9720
   109800.00    -0.9663
   110100.00    -0.9498
   110400.00    -0.9331
   110700.00    -0.9165
   111000.00    -0.8998
   111300.00    -0.8832
   111600.00    -0.8665
   111900.00    -0.8401
   112200.00    -0.8136
   112500.00    -0.7871
   112800.00    -0.7606
   113100.00    -0.7342
   113400.00    -0.7077
   113700.00    -0.6732
   114000.00    -0.6387
   114300.00    -0.6042
   114600.00    -0.5696
   114900.00    -0.5351
   115200.00    -0.5006
   115500.00    -0.4605
   115800.00    -0.4203
   116100.00    -0.3800
   116400.00    -0.3398
   116700.00    -0.2996
   117000.00    -0.2594
   117300.00    -0.2163
   117600.00    -0.1732
   117900.00    -0.1300
   118200.00    -0.0868
   118500.00    -0.0437
   118800.00    -0.0005
   119100.00     0.0427
   119400.00     0.0858
   119700.00     0.1290
   120000.00     0.1722
   120300.00     0.2153
   120600.00     0.2585
   120900.00     0.2987
   121200.00     0.3390
   121500.00     0.3792
   121800.00     0.4194
   122100.00     0.4596
   122400.00     0.4998
   122700.00     0.5344
   123000.00     0.5689
   123300.00     0.6035
   123600.00     0.6380
   123900.00     0.6725
   124200.00     0.7071
   124500.00     0.7337
   124800.00     0.7602
   125100.00     0.7866
   125400.00     0.8131
   125700.00     0.8396
   126000.00     0.8662
   126300.00     0.8829
   126600.00     0.8996
   126900.00     0.9162
   127200.00     0.9329
   127500.00     0.9495
   127800.00     0.9662
   128100.00     0.9720
   128400.00     0.9776
   128700.00     0.9833
   129000.00     0.9890
   129300.00     0.9947
   129600.00     1.0003
   129900.00     0.9948
   130200.00     0.9891
   130500.00     0.9834
   130800.00     0.9777
   131100.00     0.9720
   131400.00     0.9663
   131700.00     0.9497
   132000.00     0.9331
   132300.00     0.9164
   132600.00     0.8997
   132900.00     0.8831
   133200.00     0.8664
   133500.00     0.8400
   133800.00     0.8135
   134100.00     0.7870
   134400.00     0.7605
   134700.00     0.7340
   135000.00     0.7075
   135300.00     0.6730
   135600.00     0.6385
   135900.00     0.6040
   136200.00     0.5694
   136500.00     0.5349
   136800.00     0.5003
   137100.00     0.4602
   137400.00     0.4200
   137700.00     0.3798
   138000.00     0.3396
   138300.00     0.2994
   138600.00     0.2592
   138900.00     0.2160
   139200.00     0.1729
   139500.00     0.1298
   139800.00     0.0866
   140100.00     0.0435
   140400.00     0.0003
   140700.00    -0.0428
   141000.00    -0.0859
   141300.00    -0.1291
   141600.00    -0.1722
   141900.00    -0.2153
   142200.00    -0.2585
   142500.00    -0.2987
   142800.00    -0.3389
   143100.00    -0.3791
   143400.00    -0.4193
   143700.00    -0.4595
   144000.00    -0.4997
   144300.00    -0.5343
   144600.00    -0.5688
   144900.00    -0.6033
   145200.00    -0.6378
   145500.00    -0.6723
   145800.00    -0.7069
   146100.00    -0.7335
   146400.00    -0.7600
   146700.00    -0.7864
   147000.00    -0.8129
   147300.00    -0.8394
   147600.00    -0.8659
   147900.00    -0.8827
   148200.00    -0.8994
   148500.00    -0.9160
   148800.00    -0.9327
   149100.00    -0.9493
   149400.00    -0.9660
   149700.00    -0.9718
   150000.00    -0.9775
   150300.00    -0.9832
   150600.00    -0.9888
   150900.00    -0.9945
   151200.00    -1.0002
   151500.00    -0.9947
   151800.00    -0.9890
   152100.00    -0.9833
   152400.00    -0.9776
   152700.00    -0.9720
   153000.00    -0.9663
   153300.00    -0.9498
   153600.00    -0.9331
   153900.00    -0.9165
   154200.00    -0.8998
   154500.00    -0.8832
   154800.00    -0.8665
   155100.00    -0.8401
   155400.00    -0.8136
   155700.00    -0.7871
   156000.00    -0.7606
   156300.00    -0.7342
   156600.00    -0.7077
   156900.00    -0.6732
   157200.00    -0.6387
   157500.00    -0.6042
   157800.00    -0.5696
   158100.00    -0.5351
   158400.00    -0.5006
   158700.00    -0.4605
   159000.00    -0.4203
   159300.00    -0.3800
   159600.00    -0.3398
   159900.00    -0.2996
   160200.00    -0.2594
   160500.00    -0.2163
   160800.00    -0.1732
   161100.00    -0.1300
   161400.00    -0.0868
   161700.00    -0.0437
   162000.00    -0.0005
   162300.00     0.0427
   162600.00     0.0858
   162900.00     0.1290
   163200.00     0.1722
   163500.00     0.2153
   163800.00     0.2585
   164100.00     0.2987
   164400.00     0.3390
   164700.00     0.3792
   165000.00     0.4194
   165300.00     0.4596
   165600.00     0.4998
   165900.00     0.5344
   166200.00     0.5689
   166500.00     0.6035
   166800.00     0.6380
   167100.00     0.6725
   167400.00     0.7071
   167700.00     0.7337
   168000.00     0.7602
   168300.00     0.7866
   168600.00     0.8131
   168900.00     0.8396
   169200.00     0.8662
   169500.00     0.8829
   169800.00     0.8996
   170100.00     0.9162
   170400.00     0.9329
   170700.00     0.9495
   171000.00     0.9662
   171300.00     0.9720
   171600.00     0.9776
   171900.00     0.9833
   172200.00     0.9890
   172500.00     0.9947
   172800.00     1.0003
   173100.00     0.9948
   173400.00     0.9891
