Date,Time,level
2019/01/06,00:00,74.389
2019/01/06,00:06,74.389
2019/01/06,00:12,74.389
2019/01/06,00:18,74.389
2019/01/06,00:24,74.389
2019/01/06,00:30,74.389
2019/01/06,00:36,74.388
2019/01/06,00:42,74.388
2019/01/06,00:48,74.388
2019/01/06,00:54,74.388
2019/01/06,01:00,74.391
2019/01/06,01:06,74.39
2019/01/06,01:12,74.392
2019/01/06,01:18,74.393
2019/01/06,01:24,74.392
2019/01/06,01:30,74.393
2019/01/06,01:36,74.393
2019/01/06,01:42,74.392
2019/01/06,01:48,74.39
2019/01/06,01:54,74.391
2019/01/06,02:00,74.392
2019/01/06,02:06,74.393
2019/01/06,02:12,74.393
2019/01/06,02:18,74.393
2019/01/06,02:24,74.392
2019/01/06,02:30,74.392
2019/01/06,02:36,74.392
2019/01/06,02:42,74.391
2019/01/06,02:48,74.39
2019/01/06,02:54,74.389
2019/01/06,03:00,74.387
2019/01/06,03:06,74.385
2019/01/06,03:12,74.383
2019/01/06,03:18,74.383
2019/01/06,03:24,74.38
2019/01/06,03:30,74.379
2019/01/06,03:36,74.377
2019/01/06,03:42,74.376
2019/01/06,03:48,74.375
2019/01/06,03:54,74.372
2019/01/06,04:00,74.372
2019/01/06,04:06,74.371
2019/01/06,04:12,74.37
2019/01/06,04:18,74.369
2019/01/06,04:24,74.368
2019/01/06,04:30,74.367
2019/01/06,04:36,74.367
2019/01/06,04:42,74.366
2019/01/06,04:48,74.366
2019/01/06,04:54,74.365
2019/01/06,05:00,74.363
2019/01/06,05:06,74.363
2019/01/06,05:12,74.363
2019/01/06,05:18,74.363
2019/01/06,05:24,74.363
2019/01/06,05:30,74.363
2019/01/06,05:36,74.362
2019/01/06,05:42,74.362
2019/01/06,05:48,74.362
2019/01/06,05:54,74.363
2019/01/06,06:00,74.364
2019/01/06,06:06,74.365
2019/01/06,06:12,74.367
2019/01/06,06:18,74.369
2019/01/06,06:24,74.369
2019/01/06,06:30,74.371
2019/01/06,06:36,74.373
2019/01/06,06:42,74.374
2019/01/06,06:48,74.375
2019/01/06,06:54,74.375
2019/01/06,07:00,74.376
2019/01/06,07:06,74.376
2019/01/06,07:12,74.376
2019/01/06,07:18,74.377
2019/01/06,07:24,74.378
2019/01/06,07:30,74.378
2019/01/06,07:36,74.379
2019/01/06,07:42,74.381
2019/01/06,07:48,74.382
2019/01/06,07:54,74.382
2019/01/06,08:00,74.383
2019/01/06,08:06,74.384
2019/01/06,08:12,74.384
2019/01/06,08:18,74.384
2019/01/06,08:24,74.384
2019/01/06,08:30,74.384
2019/01/06,08:36,74.382
2019/01/06,08:42,74.379
2019/01/06,08:48,74.374
2019/01/06,08:54,74.372
2019/01/06,09:00,74.369
2019/01/06,09:06,74.365
2019/01/06,09:12,74.363
2019/01/06,09:18,74.361
2019/01/06,09:24,74.36
2019/01/06,09:30,74.358
2019/01/06,09:36,74.358
2019/01/06,09:42,74.358
2019/01/06,09:48,74.357
2019/01/06,09:54,74.358
2019/01/06,10:00,74.357
2019/01/06,10:06,74.356
2019/01/06,10:12,74.355
2019/01/06,10:18,74.353
2019/01/06,10:24,74.35
2019/01/06,10:30,74.349
2019/01/06,10:36,74.35
2019/01/06,10:42,74.349
2019/01/06,10:48,74.349
2019/01/06,10:54,74.349
2019/01/06,11:00,74.35
2019/01/06,11:06,74.35
2019/01/06,11:12,74.351
2019/01/06,11:18,74.349
2019/01/06,11:24,74.348
2019/01/06,11:30,74.346
2019/01/06,11:36,74.343
2019/01/06,11:42,74.339
2019/01/06,11:48,74.335
2019/01/06,11:54,74.332
2019/01/06,12:00,74.329
2019/01/06,12:06,74.326
2019/01/06,12:12,74.321
2019/01/06,12:18,74.317
2019/01/06,12:24,74.311
2019/01/06,12:30,74.308
2019/01/06,12:36,74.304
2019/01/06,12:42,74.304
2019/01/06,12:48,74.298
2019/01/06,12:54,74.295
2019/01/06,13:00,74.292
2019/01/06,13:06,74.287
2019/01/06,13:12,74.28
2019/01/06,13:18,74.279
2019/01/06,13:24,74.278
2019/01/06,13:30,74.276
2019/01/06,13:36,74.276
2019/01/06,13:42,74.276
2019/01/06,13:48,74.275
2019/01/06,13:54,74.274
2019/01/06,14:00,74.276
2019/01/06,14:06,74.276
2019/01/06,14:12,74.276
2019/01/06,14:18,74.277
2019/01/06,14:24,74.277
2019/01/06,14:30,74.278
2019/01/06,14:36,74.277
2019/01/06,14:42,74.278
2019/01/06,14:48,74.279
2019/01/06,14:54,74.281
2019/01/06,15:00,74.285
2019/01/06,15:06,74.288
2019/01/06,15:12,74.289
2019/01/06,15:18,74.29
2019/01/06,15:24,74.289
2019/01/06,15:30,74.289
2019/01/06,15:36,74.29
2019/01/06,15:42,74.29
2019/01/06,15:48,74.291
2019/01/06,15:54,74.292
2019/01/06,16:00,74.295
2019/01/06,16:06,74.298
2019/01/06,16:12,74.301
2019/01/06,16:18,74.303
2019/01/06,16:24,74.305
2019/01/06,16:30,74.307
2019/01/06,16:36,74.309
2019/01/06,16:42,74.311
2019/01/06,16:48,74.314
2019/01/06,16:54,74.315
2019/01/06,17:00,74.316
2019/01/06,17:06,74.317
2019/01/06,17:12,74.317
2019/01/06,17:18,-
2019/01/06,17:24,-
2019/01/06,17:30,74.317
2019/01/06,17:36,74.319
2019/01/06,17:42,74.321
2019/01/06,17:48,74.322
2019/01/06,17:54,74.322
2019/01/06,18:00,74.322
2019/01/06,18:06,74.321
2019/01/06,18:12,74.321
2019/01/06,18:18,74.321
2019/01/06,18:24,74.32
2019/01/06,18:30,74.32
2019/01/06,18:36,74.32
2019/01/06,18:42,74.321
2019/01/06,18:48,74.321
2019/01/06,18:54,74.32
2019/01/06,19:00,74.321
2019/01/06,19:06,74.319
2019/01/06,19:12,74.317
2019/01/06,19:18,74.313
2019/01/06,19:24,74.311
2019/01/06,19:30,74.308
2019/01/06,19:36,74.306
2019/01/06,19:42,74.301
2019/01/06,19:48,74.299
2019/01/06,19:54,74.296
2019/01/06,20:00,74.293
2019/01/06,20:06,74.289
2019/01/06,20:12,74.289
2019/01/06,20:18,74.288
2019/01/06,20:24,74.288
2019/01/06,20:30,74.287
2019/01/06,20:36,74.287
2019/01/06,20:42,74.284
2019/01/06,20:48,74.283
2019/01/06,20:54,74.282
2019/01/06,21:00,74.282
2019/01/06,21:06,74.282
2019/01/06,21:12,74.283
2019/01/06,21:18,74.284
2019/01/06,21:24,74.286
2019/01/06,21:30,74.288
2019/01/06,21:36,74.29
2019/01/06,21:42,74.291
2019/01/06,21:48,74.292
2019/01/06,21:54,74.293
2019/01/06,22:00,74.293
2019/01/06,22:06,74.293
2019/01/06,22:12,74.294
2019/01/06,22:18,74.294
2019/01/06,22:24,74.294
2019/01/06,22:30,74.294
2019/01/06,22:36,74.294
2019/01/06,22:42,74.296
2019/01/06,22:48,74.298
2019/01/06,22:54,74.3
2019/01/06,23:00,74.302
2019/01/06,23:06,74.302
2019/01/06,23:12,74.302
2019/01/06,23:18,74.303
2019/01/06,23:24,74.303
2019/01/06,23:30,74.303
2019/01/06,23:36,74.302
2019/01/06,23:42,74.302
2019/01/06,23:48,74.302
2019/01/06,23:54,74.301
2019/01/07,00:00,74.299
2019/01/07,00:06,74.298
2019/01/07,00:12,74.297
2019/01/07,00:18,74.296
2019/01/07,00:24,74.296
2019/01/07,00:30,74.295
2019/01/07,00:36,74.296
2019/01/07,00:42,74.294
2019/01/07,00:48,74.294
2019/01/07,00:54,74.293
2019/01/07,01:00,74.291
2019/01/07,01:06,74.288
2019/01/07,01:12,74.286
2019/01/07,01:18,74.286
2019/01/07,01:24,74.284
2019/01/07,01:30,74.284
2019/01/07,01:36,74.282
2019/01/07,01:42,74.281
2019/01/07,01:48,74.28
2019/01/07,01:54,74.279
2019/01/07,02:00,74.279
2019/01/07,02:06,74.28
2019/01/07,02:12,74.278
2019/01/07,02:18,74.277
2019/01/07,02:24,74.277
2019/01/07,02:30,74.275
2019/01/07,02:36,74.273
2019/01/07,02:42,74.272
2019/01/07,02:48,74.27
2019/01/07,02:54,74.268
2019/01/07,03:00,74.268
2019/01/07,03:06,74.27
2019/01/07,03:12,74.272
2019/01/07,03:18,74.273
2019/01/07,03:24,74.274
2019/01/07,03:30,74.276
2019/01/07,03:36,74.278
2019/01/07,03:42,74.277
2019/01/07,03:48,74.278
2019/01/07,03:54,74.278
2019/01/07,04:00,74.279
2019/01/07,04:06,74.28
2019/01/07,04:12,74.28
2019/01/07,04:18,74.281
2019/01/07,04:24,74.282
2019/01/07,04:30,74.283
2019/01/07,04:36,74.282
2019/01/07,04:42,74.282
2019/01/07,04:48,74.281
2019/01/07,04:54,74.281
2019/01/07,05:00,74.28
2019/01/07,05:06,74.28
2019/01/07,05:12,74.279
2019/01/07,05:18,74.278
2019/01/07,05:24,74.275
2019/01/07,05:30,74.272
2019/01/07,05:36,74.269
2019/01/07,05:42,74.266
2019/01/07,05:48,74.263
2019/01/07,05:54,74.264
2019/01/07,06:00,74.264
2019/01/07,06:06,74.262
2019/01/07,06:12,74.264
2019/01/07,06:18,74.264
2019/01/07,06:24,74.262
2019/01/07,06:30,74.26
2019/01/07,06:36,74.257
2019/01/07,06:42,74.256
2019/01/07,06:48,74.253
2019/01/07,06:54,74.249
2019/01/07,07:00,74.248
2019/01/07,07:06,74.247
2019/01/07,07:12,74.245
2019/01/07,07:18,74.247
2019/01/07,07:24,74.247
2019/01/07,07:30,74.246
2019/01/07,07:36,74.249
2019/01/07,07:42,74.251
2019/01/07,07:48,74.253
2019/01/07,07:54,74.253
2019/01/07,08:00,74.255
2019/01/07,08:06,74.255
2019/01/07,08:12,74.257
2019/01/07,08:18,74.262
2019/01/07,08:24,74.262
2019/01/07,08:30,74.262
2019/01/07,08:36,74.262
2019/01/07,08:42,74.264
2019/01/07,08:48,74.266
2019/01/07,08:54,74.269
2019/01/07,09:00,74.273
2019/01/07,09:06,74.276
2019/01/07,09:12,74.278
