Date,flowrate
2019-01-06,8551.67
2019-01-07,8551.67
2019-01-08,8523.36
2019-01-09,8551.67
2019-01-10,8551.67
2019-01-11,8126.92
2019-01-12,6965.93
2019-01-13,6569.5
2019-01-14,6371.28
2019-01-15,6512.86
2019-01-16,6427.91
2019-01-17,6229.7
2019-01-18,6229.7
2019-01-19,6229.7
2019-01-20,6258.01
2019-01-21,6399.6
2019-01-22,6399.6
2019-01-23,6512.86
2019-01-24,6711.08
2019-01-25,6711.08
2019-01-26,6711.08
2019-01-27,6796.03
2019-01-28,7050.88
2019-01-29,7192.47
2019-01-30,7475.64
2019-01-31,7475.64
2019-02-01,7475.64
2019-02-02,7872.07
2019-02-03,7702.17
2019-02-04,7588.9
2019-02-05,7588.9
2019-02-06,7588.9
