# delta Z 0,9 m  at the full reach
#   xL     yL     zL            xR    yR     zR          km
    0.0   100.0  1.90         0.0  -100.0  1.90         0.0
  100.0   100.0  1.81       100.0  -100.0  1.81       100.0
  200.0   100.0  1.72       200.0  -100.0  1.72       200.0
  300.0   100.0  1.63       300.0  -100.0  1.63       300.0
  400.0   100.0  1.54       400.0  -100.0  1.54       400.0
  500.0   100.0  1.45       500.0  -100.0  1.45       500.0
  600.0   100.0  1.36       600.0  -100.0  1.36       600.0
  700.0   100.0  1.27       700.0  -100.0  1.27       700.0
  800.0   100.0  1.18       800.0  -100.0  1.18       800.0
  900.0   100.0  1.09       900.0  -100.0  1.09       900.0
 1000.0   100.0  1.00      1000.0  -100.0  1.00      1000.0
END
#   # delta Z 0,0 m  at the full reach
#   #   xL     yL     zL            xR    yR     zR          km
#       0.0   100.0  0.00         0.0  -100.0  0.00         0.0
#     100.0   100.0  0.00       100.0  -100.0  0.00       100.0
#     200.0   100.0  0.00       200.0  -100.0  0.00       200.0
#     300.0   100.0  0.00       300.0  -100.0  0.00       300.0
#     400.0   100.0  0.00       400.0  -100.0  0.00       400.0
#     500.0   100.0  0.00       500.0  -100.0  0.00       500.0
#     600.0   100.0  0.00       600.0  -100.0  0.00       600.0
#     700.0   100.0  0.00       700.0  -100.0  0.00       700.0
#     800.0   100.0  0.00       800.0  -100.0  0.00       800.0
#     900.0   100.0  0.00       900.0  -100.0  0.00       900.0
#    1000.0   100.0  0.00      1000.0  -100.0  0.00      1000.0
#   END
