# Fluesschen slope 0,1 %  at the full reach 
#   xL         yL        zL               xR          yR        zR              km    
 -24.0530    30.0000   13.3295         -24.0530   -230.0000   13.3295      -0.024053           
 174.6480    30.0000   13.1308         174.6480   -230.0000   13.1308       0.174648    
 373.6820    30.0000   12.9318         373.6820   -230.0000   12.9318       0.373682    
 572.7170    30.0000   12.7328         572.7170   -230.0000   12.7328       0.572717    
 771.7634    30.0000   12.5337         771.7386   -230.0000   12.5337       0.771751    
 987.0145    29.9589   12.3347         954.5575   -230.0349   12.3347       0.970786
1234.9806   -32.8818   12.1361        1086.0654   -263.3622   12.1361       1.166521
1411.9623  -255.4808   11.9374        1152.1857   -346.5252   11.9374       1.361834
1412.6645  -540.5689   11.7388        1152.4455   -451.9891   11.7388       1.557110
1239.3583  -764.4877   11.5403        1087.0257   -536.5143   11.5403       1.752128
1017.8380  -824.8424   11.3416         930.1740   -579.2496   11.3416       1.948210
 889.7402  -882.0019   11.1429         701.4678   -681.3021   11.1429       2.143567
 840.6961  -975.3888   10.9443         568.9039   -933.7232   10.9443       2.338865
 859.5705 -1079.4958   10.7458         619.7195  -1214.0122   10.7458       2.534196
 941.4329 -1152.4470   10.5471         829.5271  -1400.9810   10.5471       2.729535
1089.1849 -1170.0000   10.3483        1073.7951  -1430.0000   10.3483       2.926924
1429.8010 -1170.0000   10.0000        1429.8010  -1430.0000   10.0000       3.275235
END
