eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  1.000000e+00  -3.132092e+00      3.132092e+00  -3.132092e+00   1.670449e-06      0.000000e+00   0.000000e+00  
  9.990000e-01  -3.127393e+00      3.133659e+00  -3.127393e+00   1.669983e-06      3.132876e-03  -3.061138e-10  
  9.980000e-01  -3.122692e+00      3.135226e+00  -3.122692e+00   1.671738e-06      6.267320e-03  -8.489684e-10  
  9.970000e-01  -3.117989e+00      3.136795e+00  -3.117989e+00   1.677950e-06      9.403337e-03  -1.866671e-09  
  9.960000e-01  -3.113284e+00      3.138365e+00  -3.113284e+00   1.690870e-06      1.254093e-02  -3.599125e-09  
  9.950000e-01  -3.108577e+00      3.139937e+00  -3.108577e+00   1.712766e-06      1.568009e-02  -6.288040e-09  
  9.940000e-01  -3.103868e+00      3.141509e+00  -3.103868e+00   1.745921e-06      1.882084e-02  -1.017696e-08  
  9.930000e-01  -3.099157e+00      3.143083e+00  -3.099157e+00   1.792634e-06      2.196317e-02  -1.551125e-08  
  9.920000e-01  -3.094444e+00      3.144657e+00  -3.094444e+00   1.855223e-06      2.510709e-02  -2.253814e-08  
  9.910000e-01  -3.089729e+00      3.146233e+00  -3.089729e+00   1.936018e-06      2.825259e-02  -3.150675e-08  
  9.900000e-01  -3.085012e+00      3.147810e+00  -3.085012e+00   2.037371e-06      3.139968e-02  -4.266804e-08  
  9.890000e-01  -3.080293e+00      3.149388e+00  -3.080293e+00   2.161646e-06      3.454837e-02  -5.627492e-08  
  9.880000e-01  -3.075572e+00      3.150968e+00  -3.075572e+00   2.311226e-06      3.769865e-02  -7.258219e-08  
  9.870000e-01  -3.070849e+00      3.152548e+00  -3.070849e+00   2.488513e-06      4.085054e-02  -9.184659e-08  
  9.860000e-01  -3.066124e+00      3.154130e+00  -3.066124e+00   2.695924e-06      4.400402e-02  -1.143268e-07  
  9.850000e-01  -3.061397e+00      3.155713e+00  -3.061397e+00   2.935894e-06      4.715911e-02  -1.402835e-07  
  9.840000e-01  -3.056668e+00      3.157297e+00  -3.056668e+00   3.210875e-06      5.031581e-02  -1.699793e-07  
  9.830000e-01  -3.051937e+00      3.158882e+00  -3.051937e+00   3.523339e-06      5.347412e-02  -2.036788e-07  
  9.820000e-01  -3.047203e+00      3.160469e+00  -3.047203e+00   3.875774e-06      5.663404e-02  -2.416487e-07  
  9.810000e-01  -3.042468e+00      3.162057e+00  -3.042468e+00   4.270686e-06      5.979558e-02  -2.841576e-07  
  9.800000e-01  -3.037731e+00      3.163645e+00  -3.037731e+00   4.710601e-06      6.295874e-02  -3.314764e-07  
  9.790000e-01  -3.032992e+00      3.165235e+00  -3.032992e+00   5.198063e-06      6.612352e-02  -3.838777e-07  
  9.780000e-01  -3.028251e+00      3.166827e+00  -3.028251e+00   5.735633e-06      6.928993e-02  -4.416365e-07  
  9.770000e-01  -3.023508e+00      3.168419e+00  -3.023508e+00   6.325894e-06      7.245796e-02  -5.050298e-07  
  9.760000e-01  -3.018763e+00      3.170012e+00  -3.018763e+00   6.971445e-06      7.562763e-02  -5.743366e-07  
  9.750000e-01  -3.014016e+00      3.171607e+00  -3.014016e+00   7.674906e-06      7.879893e-02  -6.498382e-07  
  9.740000e-01  -3.009267e+00      3.173203e+00  -3.009267e+00   8.438916e-06      8.197187e-02  -7.318179e-07  
  9.730000e-01  -3.004515e+00      3.174800e+00  -3.004515e+00   9.266134e-06      8.514644e-02  -8.205614e-07  
  9.720000e-01  -2.999762e+00      3.176399e+00  -2.999762e+00   1.015924e-05      8.832266e-02  -9.163565e-07  
  9.710000e-01  -2.995007e+00      3.177998e+00  -2.995007e+00   1.112093e-05      9.150053e-02  -1.019493e-06  
  9.700000e-01  -2.990250e+00      3.179599e+00  -2.990250e+00   1.215392e-05      9.468004e-02  -1.130263e-06  
  9.690000e-01  -2.985490e+00      3.181201e+00  -2.985490e+00   1.326095e-05      9.786121e-02  -1.248961e-06  
  9.680000e-01  -2.980729e+00      3.182804e+00  -2.980729e+00   1.444479e-05      1.010440e-01  -1.375884e-06  
  9.670000e-01  -2.975966e+00      3.184408e+00  -2.975966e+00   1.570820e-05      1.042285e-01  -1.511331e-06  
  9.660000e-01  -2.971200e+00      3.186014e+00  -2.971200e+00   1.705401e-05      1.074147e-01  -1.655603e-06  
  9.650000e-01  -2.966433e+00      3.187621e+00  -2.966433e+00   1.848501e-05      1.106025e-01  -1.809004e-06  
  9.640000e-01  -2.961663e+00      3.189228e+00  -2.961663e+00   2.000407e-05      1.137919e-01  -1.971840e-06  
  9.630000e-01  -2.956892e+00      3.190838e+00  -2.956892e+00   2.161405e-05      1.169831e-01  -2.144418e-06  
  9.620000e-01  -2.952118e+00      3.192448e+00  -2.952118e+00   2.331782e-05      1.201759e-01  -2.327051e-06  
  9.610000e-01  -2.947343e+00      3.194060e+00  -2.947343e+00   2.511831e-05      1.233704e-01  -2.520050e-06  
  9.600000e-01  -2.942565e+00      3.195672e+00  -2.942565e+00   2.701845e-05      1.265665e-01  -2.723732e-06  
  9.590000e-01  -2.937786e+00      3.197286e+00  -2.937786e+00   2.902119e-05      1.297644e-01  -2.938415e-06  
  9.580000e-01  -2.933004e+00      3.198902e+00  -2.933004e+00   3.112950e-05      1.329639e-01  -3.164419e-06  
  9.570000e-01  -2.928220e+00      3.200518e+00  -2.928220e+00   3.334639e-05      1.361652e-01  -3.402066e-06  
  9.560000e-01  -2.923434e+00      3.202136e+00  -2.923434e+00   3.567487e-05      1.393681e-01  -3.651684e-06  
  9.550000e-01  -2.918646e+00      3.203755e+00  -2.918646e+00   3.811801e-05      1.425727e-01  -3.913598e-06  
  9.540000e-01  -2.913856e+00      3.205375e+00  -2.913856e+00   4.067886e-05      1.457790e-01  -4.188141e-06  
  9.530000e-01  -2.909065e+00      3.206996e+00  -2.909065e+00   4.336052e-05      1.489870e-01  -4.475645e-06  
  9.520000e-01  -2.904271e+00      3.208619e+00  -2.904271e+00   4.616611e-05      1.521968e-01  -4.776447e-06  
  9.510000e-01  -2.899474e+00      3.210243e+00  -2.899474e+00   4.909878e-05      1.554082e-01  -5.090884e-06  
  9.500000e-01  -2.894676e+00      3.211868e+00  -2.894676e+00   5.216168e-05      1.586213e-01  -5.419297e-06  
  9.490000e-01  -2.889876e+00      3.213494e+00  -2.889876e+00   5.535801e-05      1.618362e-01  -5.762031e-06  
  9.480000e-01  -2.885074e+00      3.215122e+00  -2.885074e+00   5.869099e-05      1.650528e-01  -6.119431e-06  
