#Levee count
5   0   0.5
#Levee 1 - element count : 
20
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      1000.0000000         0.0000000      1000.0000000      1000.0000000      1050.0000000         0.0000000      1050.0000000      1000.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
      1      1025.0000000         0.0000000       102.0000000    893    894    941    942      1025.0000000        50.0000000       102.0000000    893    894    941    942         1         1       1.0       1.0     R      1025.0000000         0.0000000     R      1025.0000000        50.0000000
      2      1025.0000000        50.0000000       102.0000000    893    894    941    942      1025.0000000       100.0000000       102.0000000    894    895    941    942         1         1       1.0       1.0     R      1025.0000000        50.0000000     R      1025.0000000       100.0000000
      3      1025.0000000       100.0000000       102.0000000    894    895    941    942      1025.0000000       150.0000000       102.0000000    894    895    942    941         1         1       1.0       1.0     R      1025.0000000       100.0000000     R      1025.0000000       150.0000000
      4      1025.0000000       150.0000000       102.0000000    894    895    942    941      1025.0000000       200.0000000       102.0000000    895    896    942    943         1         1       1.0       1.0     R      1025.0000000       150.0000000     R      1025.0000000       200.0000000
      5      1025.0000000       200.0000000       102.0000000    895    896    942    943      1025.0000000       250.0000000       102.0000000    895    896    942    943         1         1       1.0       1.0     R      1025.0000000       200.0000000     R      1025.0000000       250.0000000
      6      1025.0000000       250.0000000       102.0000000    895    896    942    943      1025.0000000       300.0000000       102.0000000    896    897    942    943         1         1       1.0       1.0     R      1025.0000000       250.0000000     R      1025.0000000       300.0000000
      7      1025.0000000       300.0000000       102.0000000    896    897    942    943      1025.0000000       350.0000000       102.0000000    896    897    943    942         1         1       1.0       1.0     R      1025.0000000       300.0000000     R      1025.0000000       350.0000000
      8      1025.0000000       350.0000000       102.0000000    896    897    943    942      1025.0000000       400.0000000       102.0000000    897    898    943    944         1         1       1.0       1.0     R      1025.0000000       350.0000000     R      1025.0000000       400.0000000
      9      1025.0000000       400.0000000       102.0000000    897    898    943    944      1025.0000000       450.0000000       102.0000000    897    898    943    944         1         1       1.0       1.0     R      1025.0000000       400.0000000     R      1025.0000000       450.0000000
     10      1025.0000000       450.0000000       102.0000000    897    898    943    944      1025.0000000       500.0000000       102.0000000    898    899    943    944         1         1       1.0       1.0     R      1025.0000000       450.0000000     R      1025.0000000       500.0000000
     11      1025.0000000       500.0000000       102.0000000    898    899    943    944      1025.0000000       550.0000000       102.0000000    898    899    944    943         1         1       1.0       1.0     R      1025.0000000       500.0000000     R      1025.0000000       550.0000000
     12      1025.0000000       550.0000000       102.0000000    898    899    944    943      1025.0000000       600.0000000       102.0000000    899    900    944    945         1         1       1.0       1.0     R      1025.0000000       550.0000000     R      1025.0000000       600.0000000
     13      1025.0000000       600.0000000       102.0000000    899    900    944    945      1025.0000000       650.0000000       102.0000000    899    900    944    945         1         1       1.0       1.0     R      1025.0000000       600.0000000     R      1025.0000000       650.0000000
     14      1025.0000000       650.0000000       102.0000000    899    900    944    945      1025.0000000       700.0000000       102.0000000    900    901    944    945         1         1       1.0       1.0     R      1025.0000000       650.0000000     R      1025.0000000       700.0000000
     15      1025.0000000       700.0000000       102.0000000    900    901    944    945      1025.0000000       750.0000000       102.0000000    900    901    945    944         1         1       1.0       1.0     R      1025.0000000       700.0000000     R      1025.0000000       750.0000000
     16      1025.0000000       750.0000000       102.0000000    900    901    945    944      1025.0000000       800.0000000       102.0000000    901    902    945    946         1         1       1.0       1.0     R      1025.0000000       750.0000000     R      1025.0000000       800.0000000
     17      1025.0000000       800.0000000       102.0000000    901    902    945    946      1025.0000000       850.0000000       102.0000000    901    902    945    946         1         1       1.0       1.0     R      1025.0000000       800.0000000     R      1025.0000000       850.0000000
     18      1025.0000000       850.0000000       102.0000000    901    902    945    946      1025.0000000       900.0000000       102.0000000    902    903    945    946         1         1       1.0       1.0     R      1025.0000000       850.0000000     R      1025.0000000       900.0000000
     19      1025.0000000       900.0000000       102.0000000    902    903    945    946      1025.0000000       950.0000000       102.0000000    902    903    946    945         1         1       1.0       1.0     R      1025.0000000       900.0000000     R      1025.0000000       950.0000000
     20      1025.0000000       950.0000000       102.0000000    902    903    946    945      1025.0000000      1000.0000000       102.0000000    903    902    946    945         1         1       1.0       1.0     R      1025.0000000       950.0000000     R      1025.0000000      1000.0000000
#Levee 2 - element count : 
40
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      2050.0000000         0.0000000      2050.0000000      1000.0000000      2100.0000000         0.0000000      2100.0000000      1000.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
     21      2090.0000000         0.0000000        97.0000000    972    973    505    506      2060.0000000        25.0000000        97.0000000    972    973    505    506         1         1       1.0       1.0     R      2090.0000000         0.0000000     R      2060.0000000        25.0000000
     22      2060.0000000        25.0000000        97.0000000    972    973    505    506      2090.0000000        50.0000000        97.0000000    972    973    505    506         1         1       1.0       1.0     R      2060.0000000        25.0000000     R      2090.0000000        50.0000000
     23      2090.0000000        50.0000000        97.0000000    972    973    505    506      2060.0000000        75.0000000        97.0000000    972    973    506    505         1         1       1.0       1.0     R      2090.0000000        50.0000000     R      2060.0000000        75.0000000
     24      2060.0000000        75.0000000        97.0000000    972    973    506    505      2090.0000000       100.0000000        97.0000000    972    973    506    507         1         1       1.0       1.0     R      2060.0000000        75.0000000     R      2090.0000000       100.0000000
     25      2090.0000000       100.0000000        97.0000000    972    973    506    507      2060.0000000       125.0000000        97.0000000    973    972    506    507         1         1       1.0       1.0     R      2090.0000000       100.0000000     R      2060.0000000       125.0000000
