#      xli       yli       xre       yre    nw97    Rhkm
        93
  6200.000   700.000  6700.000     0.000   13.12   812.5
  6298.387   583.368  6753.903   157.562   13.12   812.5
  6350.763   642.109  6819.257   253.241   13.11   812.6
  6401.503   698.287  6886.217   351.853   13.10   812.7
  6453.332   754.864  6968.828   441.336   13.09   812.8
  6494.649   820.429  7005.731   553.391   13.08   812.9
  6535.645   884.344  7046.325   666.256   13.07   813.0
  6549.402   961.134  7086.328   775.446   13.06   813.1
  6563.257  1035.912  7239.763   856.068   13.05   813.2
  6577.634  1110.602  7222.836   987.428   13.04   813.3
  6592.578  1185.676  7195.262  1112.544   13.03   813.4
  6608.096  1261.064  7192.704  1231.716   13.02   813.5
  6624.545  1338.033  7203.105  1353.237   13.01   813.6
  6623.952  1422.136  7197.638  1467.564   13.00   813.7
  6605.641  1504.867  7180.009  1578.483   12.99   813.8
  6587.830  1586.365  7161.250  1694.765   12.98   813.9
  6570.152  1667.397  7142.788  1807.423   12.96   814.0
  6540.339  1746.669  7105.031  1914.831   12.95   814.1
  6510.596  1824.740  7060.844  2019.590   12.94   814.2
  6480.660  1901.912  7015.570  2126.538   12.93   814.3
  6439.658  1974.733  7010.492  2251.657   12.92   814.4
  6408.261  2052.170  6918.309  2333.140   12.90   814.5
  6348.321  2111.892  6923.039  2473.058   12.89   814.6
  6287.568  2170.954  6834.212  2549.646   12.87   814.7
  6228.727  2228.160  6743.053  2629.830   12.85   814.8
  6170.507  2285.269  6663.083  2711.461   12.84   814.9
  6112.795  2342.243  6615.675  2824.787   12.83   815.0
  6055.887  2398.783  6518.623  2891.837   12.81   815.1
  6021.040  2481.300  6424.960  2959.730   12.80   815.2
  5951.244  2523.406  6337.026  3032.904   12.79   815.3
  5878.726  2561.892  6246.214  3103.258   12.77   815.4
  5804.220  2593.917  6152.190  3170.653   12.75   815.5
  5729.110  2623.662  6058.220  3239.878   12.73   815.6
  5654.798  2653.115  5960.722  3303.715   12.72   815.7
  5582.541  2685.878  5861.159  3366.822   12.71   815.8
  5516.373  2737.076  5750.527  3404.684   12.69   815.9
  5443.012  2773.061  5633.758  3427.859   12.68   816.0
  5364.803  2791.080  5517.587  3450.630   12.66   816.1
  5287.061  2803.279  5401.239  3464.371   12.64   816.2
  5207.009  2819.240  5286.421  3477.280   12.63   816.3
  5126.045  2835.598  5172.885  3485.852   12.61   816.4
  5033.635  2854.011  5066.388  3489.875   12.59   816.5
  4940.517  2872.615  4958.653  3478.255   12.57   816.6
  4848.873  2891.022  4852.407  3454.358   12.55   816.7
  4754.559  2909.929  4747.221  3453.881   12.53   816.8
  4661.607  2880.817  4642.363  3450.383   12.51   816.9
  4568.996  2863.301  4537.629  3446.749   12.50   817.0
  4474.693  2848.566  4431.838  3449.859   12.49   817.1
  4385.413  2830.888  4325.447  3455.092   12.48   817.2
  4295.135  2807.562  4218.425  3456.168   12.47   817.3
  4204.979  2785.349  4110.751  3457.211   12.45   817.4
  4115.849  2762.912  4002.411  3453.498   12.43   817.5
  4016.843  2749.846  3901.097  3448.114   12.41   817.6
  3917.067  2740.177  3800.573  3442.783   12.40   817.7
  3816.795  2730.465  3700.105  3434.785   12.39   817.8
  3716.895  2720.786  3598.975  3432.094   12.37   817.9
  3617.090  2716.084  3497.600  3429.466   12.35   818.0
  3514.832  2718.938  3396.438  3427.452   12.33   818.1
  3402.821  2767.797  3298.659  3429.443   12.31   818.2
  3290.156  2746.423  3221.174  3418.137   12.29   818.3
  3176.801  2713.503  3142.949  3425.227   12.27   818.4
  3061.401  2724.772  3065.419  3418.938   12.25   818.5
  2946.707  2727.935  2988.373  3431.355   12.24   818.6
  2832.995  2742.265  2909.845  3420.755   12.22   818.7
  2719.389  2761.069  2830.401  3417.661   12.20   818.8
  2606.900  2780.836  2752.970  3430.394   12.18   818.9
  2496.340  2811.386  2677.930  3455.104   12.16   819.0
  2381.972  2831.123  2616.228  3517.317   12.14   819.1
  2272.268  2866.308  2532.342  3513.202   12.12   819.2
  2160.465  2902.473  2459.635  3542.697   12.10   819.3
  2067.642  2931.971  2363.018  3581.079   12.07   819.4
  1984.077  2958.145  2253.483  3624.275   12.05   819.5
  1897.091  2966.720  2143.989  3666.330   12.04   819.6
  1810.542  2975.593  2034.078  3706.457   12.02   819.7
  1734.081  3015.380  1923.759  3749.410   12.01   819.8
  1663.289  3095.129  1826.581  3857.241   12.00   819.9
  1575.808  3107.443  1701.672  3845.457   11.99   820.0
  1488.701  3119.874  1580.569  3835.706   11.98   820.1
  1400.544  3132.578  1467.926  3826.422   11.97   820.2
  1313.699  3145.396  1342.861  3810.384   11.96   820.3
  1226.191  3122.540  1225.989  3775.200   11.95   820.4
  1139.910  3091.644  1111.960  3734.996   11.94   820.5
  1055.243  3061.564   988.847  3859.466   11.93   820.6
   963.047  3039.320   886.793  3822.770   11.92   820.7
   864.958  3045.050   789.392  3769.260   11.90   820.8
   761.122  3087.357   692.138  3715.753   11.89   820.9
   660.383  3078.109   598.607  3676.261   11.88   821.0
   561.641  3058.634   498.709  3671.116   11.87   821.1
   463.156  3038.460   400.834  3647.100   11.86   821.2
   356.684  3016.907   307.686  3630.953   11.85   821.3
   243.120  3033.829   216.680  3627.361   11.84   821.4
   137.089  3009.815   126.211  3635.195   11.83   821.5
     0.000  3100.000     0.000  3500.000   11.83   821.5  
