Relaxation, Number of culverts
0.8 15
I1 I2 CE1 CE2 CS1 CS2 LRG HAUT1 CLP LBUS Z1 Z2 CV C56 CV5 C5 CT HAUT2 FRIC LENGTH CIRC D1 D2 A1 A2 AA
1967 1715 0.9 0.5 1 1 2.7 1.45 0 0.2 4.35 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1954 1681 0.9 0.5 1 1 2.7 1.3 0 0.2 4.5 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1930 1650 0.9 0.5 1 1 2.7 1.3 0 0.2 4.5 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1911 1624 0.9 0.5 1 1 2.7 1.6 0 0.2 4.2 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1893 1596 0.9 0.5 1 1 2.7 1.6 0 0.2 4.2 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1870 1568 0.9 0.5 1 1 2.7 1.6 0 0.2 4.2 4.2 0 10 0 6 1 1.8 0.015 9.5 0 0 0 0 0 1
1851 1735 0.5 0.5 1 1 3 1.1 2 0.2 2.7 2.2 1 10 1.5 6 1 1.8 0.015 18.5 0 0 0 0 0 1
1831 1695 0.5 0.5 1 1 3 1.1 2 0.2 2.7 2.2 1 10 1.5 6 1 1.8 0.015 18.5 0 0 0 0 0 1
1809 1666 0.5 0.5 1 1 3 1.1 2 0.2 2.7 2.2 1 10 1.5 6 1 1.8 0.015 18.5 0 0 0 0 0 1
1764 1642 0.5 0.5 1 1 1.5 1.8 2 0.2 3.06 3.06 1 10 1.5 6 1 1.8 0.015 20 0 0 0 0 0 1
1743 1611 0.5 0.5 1 1 1.5 1.8 2 0.2 2.99 2.99 1 10 1.5 6 1 1.8 0.015 20 0 0 0 0 0 1
1719 1583 0.5 0.5 1 1 1.5 1.8 2 0.2 2.92 2.92 1 10 1.5 6 1 1.8 0.015 20 0 0 0 0 0 1
441 722 0.5 0.5 1 1 1.5 1.5 2 0.2 2.5 2.5 1 10 1.5 6 1 1.5 0.015 30 0 0 0 0 0 1
424 710 0.5 0.5 1 1 1.5 1.5 2 0.2 2.5 2.5 1 10 1.5 6 1 1.5 0.015 30 0 0 0 0 0 1
410 762 0.5 0.5 1 1 1.5 1.5 2 0.2 3 2.5 1 10 1.5 6 1 1.5 0.015 30 0 0 0 0 0 1
