#
# Sinusoidal elevation
#
T SL(1)
s m
0 1.10000
100 1.10004
200 1.10016
300 1.10037
400 1.10066
500 1.10103
600 1.10148
700 1.10202
800 1.10264
900 1.10334
1000 1.10412
1100 1.10498
1200 1.10593
1300 1.10695
1400 1.10806
1500 1.10925
1600 1.11052
1700 1.11187
1800 1.11330
1900 1.11481
2000 1.11640
2100 1.11807
2200 1.11982
2300 1.12165
2400 1.12356
2500 1.12554
2600 1.12760
2700 1.12974
2800 1.13196
2900 1.13425
3000 1.13662
3100 1.13907
3200 1.14159
3300 1.14419
3400 1.14686
3500 1.14960
3600 1.15242
3700 1.15531
3800 1.15827
3900 1.16131
4000 1.16441
4100 1.16759
4200 1.17084
4300 1.17415
4400 1.17754
4500 1.18099
4600 1.18452
4700 1.18810
4800 1.19176
4900 1.19548
5000 1.19926
5100 1.20311
5200 1.20703
5300 1.21100
5400 1.21504
5500 1.21914
5600 1.22330
5700 1.22752
5800 1.23180
5900 1.23614
6000 1.24054
6100 1.24499
6200 1.24950
6300 1.25406
6400 1.25868
6500 1.26335
6600 1.26807
6700 1.27285
6800 1.27767
6900 1.28255
7000 1.28747
7100 1.29245
7200 1.29747
7300 1.30253
7400 1.30764
7500 1.31280
7600 1.31800
7700 1.32324
7800 1.32853
7900 1.33385
8000 1.33922
8100 1.34462
8200 1.35006
8300 1.35554
8400 1.36105
8500 1.36660
8600 1.37218
8700 1.37779
8800 1.38344
8900 1.38911
9000 1.39482
9100 1.40055
9200 1.40631
9300 1.41210
9400 1.41792
9500 1.42375
9600 1.42961
9700 1.43549
9800 1.44140
9900 1.44732
10000 1.45326
10100 1.45922
10200 1.46520
10300 1.47119
10400 1.47720
10500 1.48322
10600 1.48925
10700 1.49529
10800 1.50135
10900 1.50741
11000 1.51348
11100 1.51955
11200 1.52564
11300 1.53172
11400 1.53781
11500 1.54391
11600 1.55000
11700 1.55609
11800 1.56219
11900 1.56828
12000 1.57436
12100 1.58045
12200 1.58652
12300 1.59259
12400 1.59865
12500 1.60471
12600 1.61075
12700 1.61678
12800 1.62280
12900 1.62881
13000 1.63480
13100 1.64078
13200 1.64674
13300 1.65268
13400 1.65860
13500 1.66451
13600 1.67039
13700 1.67625
13800 1.68208
13900 1.68790
14000 1.69369
14100 1.69945
14200 1.70518
14300 1.71089
14400 1.71656
14500 1.72221
14600 1.72782
14700 1.73340
14800 1.73895
14900 1.74446
15000 1.74994
15100 1.75538
15200 1.76078
15300 1.76615
15400 1.77147
15500 1.77676
15600 1.78200
15700 1.78720
15800 1.79236
15900 1.79747
16000 1.80253
16100 1.80755
16200 1.81253
16300 1.81745
16400 1.82233
16500 1.82715
16600 1.83193
16700 1.83665
16800 1.84132
16900 1.84594
17000 1.85050
17100 1.85501
17200 1.85947
17300 1.86386
17400 1.86820
17500 1.87248
17600 1.87670
17700 1.88086
17800 1.88496
17900 1.88900
18000 1.89297
18100 1.89689
18200 1.90074
18300 1.90452
18400 1.90824
18500 1.91190
18600 1.91548
18700 1.91901
18800 1.92246
18900 1.92585
19000 1.92916
19100 1.93241
19200 1.93559
19300 1.93869
19400 1.94173
19500 1.94469
19600 1.94758
19700 1.95040
19800 1.95314
19900 1.95581
20000 1.95841
20100 1.96093
20200 1.96338
20300 1.96575
20400 1.96804
20500 1.97026
20600 1.97240
20700 1.97446
20800 1.97644
20900 1.97835
21000 1.98018
21100 1.98193
21200 1.98360
21300 1.98519
21400 1.98670
21500 1.98813
21600 1.98948
21700 1.99075
21800 1.99194
21900 1.99305
22000 1.99407
22100 1.99502
22200 1.99588
22300 1.99666
22400 1.99736
22500 1.99798
22600 1.99852
22700 1.99897
22800 1.99934
22900 1.99963
23000 1.99984
23100 1.99996
23200 2.00000
23300 1.99996
23400 1.99984
23500 1.99963
23600 1.99934
23700 1.99897
23800 1.99852
23900 1.99798
24000 1.99736
24100 1.99666
24200 1.99588
24300 1.99502
24400 1.99407
24500 1.99305
24600 1.99194
24700 1.99075
24800 1.98948
24900 1.98813
25000 1.98670
25100 1.98519
25200 1.98360
25300 1.98193
25400 1.98018
25500 1.97835
25600 1.97644
