#time	T_air	Pvap Vit_Vent wind dir	Nebulo	Ray3	P_atm	rain
T       TAIR    PVAP    WINDD   WINDS   CLDC    RAY3    PATM    RAINI
s	degC	hPa	degree	m/s	octa	W/m2	mbar	mm
0	20	10	0	0.70	5	160	1012.7	0
3600	20	10	0	0.00	5	160	1012.8	0
7200	20	10	0	0.00	5	160	1012.9	0
10800	20	10	0	0.00	5	160	1012.10	0
14400	20	10	0	1.90	5	160	1012.11	0
18000	20	10	0	2.50	5	160	1012.12	0
21600	20	10	0	1.70	5	160	1012.13	0
25200	20	10	0	4.90	5	160	1012.14	0
28800	20	10	0	3.80	5	160	1012.15	0
32400	20	10	0	3.60	5	160	1012.16	0
36000	20	10	0	3.80	5	160	1012.17	0
39600	20	10	0	4.50	5	160	1012.18	0
43200	20	10	0	3.00	5	160	1012.19	0
46800	20	10	0	4.60	5	160	1012.20	0
50400	20	10	0	5.00	5	160	1012.21	0
54000	20	10	0	5.00	5	160	1012.22	0
57600	20	10	0	4.80	5	160	1012.23	0
61200	20	10	0	4.00	5	160	1012.24	0
64800	20	10	0	3.50	5	160	1012.25	0
68400	20	10	0	3.30	5	160	1012.26	0
72000	20	10	0	3.00	5	160	1012.27	0
75600	20	10	0	3.00	5	160	1012.28	0
79200	20	10	0	2.60	5	160	1012.29	0
82800	20	10	0	2.90	5	160	1012.30	0
86400	20	10	0	2.50	5	160	1012.31	0
90000	20	10	0	2.50	5	160	1012.32	0
93600	20	10	0	3.50	5	160	1012.33	0
97200	20	10	0	2.90	5	160	1012.34	0
100800	20	10	0	3.30	5	160	1012.35	0
104400	20	10	0	3.30	5	160	1012.36	0
108000	20	10	0	4.20	5	160	1012.37	0
111600	20	10	0	4.00	5	160	1012.38	0
115200	20	10	0	2.80	5	160	1012.39	0
118800	20	10	0	3.20	5	160	1012.40	0
122400	20	10	0	3.90	5	160	1012.41	0
126000	20	10	0	3.30	5	160	1012.42	0
129600	20	10	0	5.30	5	160	1012.43	0
133200	20	10	0	5.30	5	160	1012.44	0
136800	20	10	0	4.30	5	160	1012.45	0
140400	20	10	0	3.90	5	160	1012.46	0
144000	20	10	0	5.60	5	160	1012.47	0
147600	20	10	0	0.70	5	160	1012.48	0
151200	20	10	0	0.00	5	160	1012.49	0
154800	20	10	0	0.00	5	160	1012.50	0
158400	20	10	0	0.00	5	160	1012.51	0
162000	20	10	0	1.91	5	160	1012.52	0
165600	20	10	0	2.51	5	160	1012.53	0
169200	20	10	0	1.71	5	160	1012.54	0
172800	20	10	0	4.91	5	160	1012.55	0
176400	20	10	0	3.80	5	160	1012.56	0
180000	20	10	0	3.60	5	160	1012.57	0
183600	20	10	0	3.80	5	160	1012.58	0
187200	20	10	0	4.51	5	160	1012.59	0
190800	20	10	0	3.01	5	160	1012.60	0
194400	20	10	0	4.61	5	160	1012.61	0
198000	20	10	0	5.00	5	160	1012.62	0
201600	20	10	0	5.00	5	160	1012.63	0
205200	20	10	0	4.80	5	160	1012.64	0
208800	20	10	0	4.160	5	160	1012.65	0
212400	20	10	0	3.50	5	160	1012.66	0
216000	20	10	0	3.30	5	160	1012.67	0
219600	20	10	0	3.00	5	160	1012.68	0
223200	20	10	0	3.00	5	160	1012.69	0
226800	20	10	0	2.60	5	160	1012.70	0
230400	20	10	0	2.90	5	160	1012.71	0
234000	20	10	0	2.50	5	160	1012.72	0
237600	20	10	0	2.50	5	160	1012.73	0
241200	20	10	0	3.51	5	160	1012.74	0
244800	20	10	0	2.91	5	160	1012.75	0
248400	20	10	0	3.30	5	160	1012.76	0
252000	20	10	0	3.30	5	160	1012.77	0
255600	20	10	0	4.20	5	160	1012.78	0
259200	20	10	0	4.40	5	160	1012.79	0
262800	20	10	0	2.81	5	160	1012.80	0
266400	20	10	0	3.20	5	160	1012.81	0
270000	20	10	0	3.90	5	160	1012.82	0
273600	20	10	0	3.30	5	160	1012.83	0
277200	20	10	0	5.30	5	160	1012.84	0
280800	20	10	0	5.30	5	160	1012.85	0
284400	20	10	0	4.31	5	160	1012.86	0
288000	20	10	0	3.91	5	160	1012.87	0
291600	20	10	0	5.61	5	160	1012.88	0
295200	20	10	0	0.70	5	160	1012.89	0
298800	20	10	0	0.00	5	160	1012.90	0
302400	20	10	0	0.00	5	160	1012.91	0
306000	20	10	0	0.00	5	160	1012.92	0
309600	20	10	0	1.92	5	160	1012.93	0
313200	20	10	0	2.52	5	160	1012.94	0
316800	20	10	0	1.72	5	160	1012.95	0
320400	20	10	0	4.92	5	160	1012.96	0
324000	20	10	0	3.80	5	160	1012.97	0
327600	20	10	0	3.60	5	160	1012.98	0
331200	20	10	0	3.80	5	160	1012.99	0
334800	20	10	0	4.52	5	160	1012.100	0
338400	20	10	0	3.02	5	160	1012.101	0
342000	20	10	0	4.62	5	160	1012.102	0
345600	20	10	0	5.00	5	160	1012.103	0
349200	20	10	0	5.00	5	160	1012.104	0
352800	20	10	0	4.240	5	160	1012.105	0
356400	20	10	0	4.320	5	160	1012.106	0
360000	20	10	0	3.50	5	160	1012.107	0
363600	20	10	0	3.30	5	160	1012.108	0
367200	20	10	0	3.00	5	160	1012.109	0
370800	20	10	0	3.00	5	160	1012.110	0
374400	20	10	0	2.60	5	160	1012.111	0
378000	20	10	0	2.90	5	160	1012.112	0
381600	20	10	0	2.50	5	160	1012.113	0
385200	20	10	0	2.50	5	160	1012.114	0
388800	20	10	0	3.52	5	160	1012.115	0
392400	20	10	0	2.92	5	160	1012.116	0
396000	20	10	0	3.30	5	160	1012.117	0
