"varname";"abbr";"unit";"int"
"Cote de l eau";"Z";"m";3
"Cote du fond";"ZREF";"m";4
"Vitesse mineure";"VMIN";"m/s";4
"Section mouillee mineure";"E1";"m2";2
"Concentration en vase";"CVas";"g/l";4
"Concentration en sable";"CSbl";"g/l";4
"Depot cumule";"DepT";"T";3
"Variation de surface cumulee";"Vsur";"m2";3
"Flux massique de vase";"FlVs";"kg/m/s";3
"Flux massique de sable";"FlSb";"kg/m/s";3
"Contrainte au fond maximale";"THMx";"N/m2";3
"Contrainte moyenne";"THMy";"N/m2";3
"Contrainte effective moyenne";"TEMy";"N/m2";3
"Concentration dequilibre moy";"CeqM";"g/l";3
"Debit";"Q";"m3/s";1
